********************************************************************************
product = Open Liberty 20.0.0.4 (wlp-1.0.39.cl200420200401-1714)
wlp.install.dir = C:/Users/Steve/Documents/git/Swarm/target/liberty/wlp/
java.home = C:\Program Files\AdoptOpenJDK\jdk-11.0.6.10-openj9
java.version = 11.0.6
java.runtime = OpenJDK Runtime Environment (11.0.6+10)
os = Windows 10 (10.0; amd64) (en_US)
process = 13276@Hubris
********************************************************************************
[4/21/20, 8:20:31:735 EDT] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server LibertySwarm has been launched.
[4/21/20, 8:20:33:955 EDT] 0000001e com.ibm.ws.config.xml.internal.ServerXMLConfiguration        A CWWKG0093A: Processing configuration drop-ins resource: C:\Users\Steve\Documents\git\Swarm\target\liberty\wlp\usr\servers\LibertySwarm\configDropins\overrides\liberty-plugin-variable-config.xml
[4/21/20, 8:20:34:519 EDT] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 3.43 seconds
[4/21/20, 8:20:34:709 EDT] 00000028 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[4/21/20, 8:20:43:748 EDT] 0000001f .apache.cxf.cxf.core.3.2:1.0.39.cl200420200401-1714(id=175)] I Aries Blueprint packages not available. So namespaces will not be registered
[4/21/20, 8:20:43:767 EDT] 0000001f .apache.cxf.cxf.core.3.2:1.0.39.cl200420200401-1714(id=175)] I Aries Blueprint packages not available. So namespaces will not be registered
[4/21/20, 8:20:43:944 EDT] 0000001c com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0007I: The security service is starting...
[4/21/20, 8:20:46:641 EDT] 0000001e com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications.
[4/21/20, 8:20:47:063 EDT] 0000001d com.ibm.ws.annocache.service                                 I OSGi Work Path [ C:\Users\Steve\Documents\git\Swarm\target\liberty\wlp\usr\servers\LibertySwarm\workarea\org.eclipse.osgi\41\data ]
[4/21/20, 8:20:47:558 EDT] 0000001f com.ibm.ws.cache.ServerCache                                 I DYNA1001I: WebSphere Dynamic Cache instance named baseCache initialized successfully.
[4/21/20, 8:20:47:561 EDT] 0000001f com.ibm.ws.cache.ServerCache                                 I DYNA1071I: The cache provider default is being used.
[4/21/20, 8:20:47:568 EDT] 0000001f com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: Dynamic Cache (object cache) initialized successfully.
[4/21/20, 8:20:48:648 EDT] 00000024 com.ibm.ws.ssl.config.WSKeyStore                             A CWPKI0820A: The default keystore has been created using the 'keystore_password' environment variable.
[4/21/20, 8:20:48:729 EDT] 00000032 com.ibm.ws.security.token.ltpa.internal.LTPAKeyCreateTask    I CWWKS4105I: LTPA configuration is ready after 0.051 seconds.
[4/21/20, 8:20:48:771 EDT] 0000001c ibm.ws.security.authentication.internal.jaas.JAASServiceImpl I CWWKS1123I: The collective authentication plugin with class name NullCollectiveAuthenticationPlugin has been activated. 
[4/21/20, 8:20:49:643 EDT] 0000001c com.ibm.ws.security.jwt.internal.ConsumerImpl                I CWWKS6012I: The JSON Web Token (JWT) consumer service is available.
[4/21/20, 8:20:49:685 EDT] 0000001c com.ibm.ws.security.jwt.web.JwtEndpointServices              I CWWKS6002I: The JSON Web Token (JWT) endpoint service is available.
[4/21/20, 8:20:49:685 EDT] 00000024 com.ibm.ws.ssl.config.WSKeyStore                             I Successfully loaded default keystore: C:/Users/Steve/Documents/git/Swarm/target/liberty/wlp/usr/servers/LibertySwarm/resources/security/key.p12 of type: PKCS12
[4/21/20, 8:20:49:738 EDT] 0000001c .ws.security.mp.jwt.v11.config.impl.MpConfigProxyServiceImpl I CWWKS5775I: The MicroProfile JWT version 1.1 mpConfigProxy processed successfully.
[4/21/20, 8:20:49:760 EDT] 0000001c com.ibm.ws.security.mp.jwt.impl.MicroProfileJwtConfigImpl    I CWWKS5500I: The MicroProfile JWT configuration [defaultMpJwt] was successfully processed.
